block,label,year,Thinning,distance,elevation,slope,orientation,total_richness,core_richness,transient_richness,transient_prop,TNH,TCH,TNL,TCL,CNH,CNL
1209,T4B,2018,20 m,107.2,1355.012793,7.349142475,EW,8,5,3,0.375,0.238650218,5.359630585,0.120293893,2.370733976,22.45810055,19.70784982
1209,T4C,2018,20 m,201.75,1351.628466,6.671883531,EW,8,6,2,0.25,0.247491553,6.299157619,0.289976001,8.551933289,25.45201051,29.49186576
1209,T4C,2018,20 m,201.75,1351.628466,6.671883531,EW,7,6,1,0.142857143,0.26860851,6.15611887,0.224194676,5.370414257,22.91855481,23.9542453
1209,T4C,2018,20 m,201.75,1351.628466,6.671883531,EW,8,6,2,0.25,0.348827809,8.689360619,0.222648546,5.649376869,24.9101717,25.3735179
1209,T4C,2018,20 m,201.75,1351.628466,6.671883531,EW,7,6,1,0.142857143,0.152044803,3.898867607,0.194522724,5.268707752,25.64288639,27.08530734
1209,T4C,2018,20 m,201.75,1351.628466,6.671883531,EW,7,6,1,0.142857143,0.897430718,20.45818329,0.23796393,5.112489223,22.79639295,21.48430322
1210,CONTROL1,2018,Control,206.9,1373.758494,7.66753411,EW,9,9,0,0,0.303673029,9.171910286,0.139202222,3.632253408,30.203243,26.09335792
1210,CONTROL1,2018,Control,206.9,1373.758494,7.66753411,EW,4,4,0,0,0.299908191,7.765373707,0.145871475,3.221678019,25.89250291,22.08573
1210,CONTROL1,2018,Control,206.9,1373.758494,7.66753411,EW,7,7,0,0,0.20220691,4.761402607,0.209660411,4.642756939,23.54718053,22.14417552
1210,CONTROL1,2018,Control,206.9,1373.758494,7.66753411,EW,6,6,0,0,0.245742083,6.196060181,0.163102075,3.49311614,25.21367165,21.41674856
1210,CONTROL1,2018,Control,206.9,1373.758494,7.66753411,EW,8,7,1,0.125,0.264494359,6.706354141,0.172866881,3.952326059,25.35537678,22.86340818
